Entry ID,Longitude,Latitude,Start year,Average Wind Speed
1,7.3468,54.9084,2009.0,8.933333333333334
2,-6.6501,56.4101,2012.0,9.543333333333335
3,17.8991,60.8834,2009.0,6.563333333333333
4,3.3283,51.6007,2016.0,7.963333333333334
5,1.54,53.9601,2022.0,8.41
6,1.4207,53.6815,2019.0,8.603333333333333
7,1.6679,55.9673,2023.0,9.27
8,23.0201,57.9601,2021.0,8.116666666666667
9,23.1501,57.9801,2021.0,8.116666666666667
10,23.3901,58.0101,2021.0,8.116666666666667
11,-4.5672,51.3694,2013.0,8.06
12,3.7692,56.7895,2008.0,9.223333333333334
13,6.6458,63.0084,2008.0,6.3066666666666675
14,7.2323,65.126,2008.0,9.223333333333334
15,12.6515,55.7373,2022.0,7.35
16,4.3551,62.3089,2007.0,9.39
17,-1.9266,56.6355,2022.0,8.355
18,5.721,56.8296,2013.0,9.453333333333333
19,5.721,56.8296,2008.0,9.306666666666667
20,20.948,56.7326,2009.0,7.359999999999999
21,0.8616,53.2123,2022.0,7.465
22,2.1728,52.137,2020.0,8.483333333333333
23,18.339,54.9609,2019.0,7.963333333333334
24,21.0168,62.7481,2013.0,5.453333333333333
25,6.0791,62.6533,2008.0,5.573333333333333
26,19.8476,70.2485,2009.0,5.43
27,4.3471,52.6424,2023.0,8.27
28,27.6745,71.0114,2011.0,7.956666666666666
29,14.3127,68.4242,2008.0,7.293333333333333
30,11.2149,56.885,2019.0,7.81
31,2.1728,52.137,2020.0,8.483333333333333
32,1.2728,50.1482,2012.0,7.3500000000000005
33,22.014,58.7498,2014.0,7.93
34,-3.2766,54.7024,2008.0,7.960000000000001
35,5.7661,60.8574,2024.0,4.85
36,-3.6201,54.901,2018.0,7.683333333333334
37,20.9832,65.3544,2020.0,4.373333333333334
39,14.744,54.3929,2017.0,8.01
40,14.744,54.3929,2017.0,8.01
41,12.9965,54.9855,2021.0,8.083333333333334
42,-4.9365,51.609,2021.0,8.533333333333333
43,17.7758,61.3104,2020.0,5.633333333333333
44,5.9811,53.719,2017.0,8.25
45,10.1982,64.2603,2007.0,7.536666666666666
46,-2.9502,58.0882,2019.0,8.35
47,5.9722,54.7693,2008.0,9.346666666666666
48,-3.6266,53.454,2015.0,8.063333333333333
49,7.9302,58.8235,2020.0,4.34
50,12.57,54.81,2019.0,8.153333333333334
51,32.0635,46.9405,2011.0,6.0633333333333335
52,25.5178,40.0005,2009.0,7.226666666666667
53,0.2986,49.8447,2024.0,8.11
54,6.3327,54.4393,2019.0,9.163333333333332
